Wow!	Carai!
Really?	De veritat?
Thanks.	Gràcies!
Goodbye!	Adéu!
Hurry up.	Afanya't.
Too late.	Massa tard.
Thank you.	Gràcies!
Can I help?	Puc ajudar?
I envy him.	L'envejo.
Time flies.	El temps vola.
I'm 17, too.	Jo també tinc 17 anys.
I'm at home.	Estic a casa.
Money talks.	Qui paga, mana.
We love you.	T'estimem.
We love you.	Us estimem.
Who are you?	Qui ets tu?
Who are you?	Qui és vostè?
Who are you?	Qui ets?
Who are you?	Qui sou?
He has a dog.	Ell té un gos.
She stood up.	Ella es va aixecar.
Hi, everybody.	Hola a tots.
I'm desperate.	Estic desesperat.
Let me try it.	Deixa'm intentar-ho.
You look good.	Tens bona cara.
You look good.	Fas bona cara.
You look good.	Fas bon aspecte.
Are you insane?	Estàs boig?
Can I help you?	Puc ajudar?
I need a stamp.	Necessito un segell.
I saw him jump.	El vaig veure saltar.
Leave me alone!	Deixa'm en pau!
Who painted it?	Qui ho ha pintat?
I didn't say it.	No ho he dit pas.
I felt the same.	Em sentia igual.
I have two cats.	Tinc dos gats.
I speak Swedish.	Parlo suec.
It's cold today!	Avui fa fred!
It's your fault.	És culpa teva.
Who are you all?	Qui sou tots vosaltres?
Who are you all?	Qui sou totes vosaltres?
Here is your bag.	Aquí és la teva bossa.
Here is your bag.	Ací està la teua bossa.
Here is your bag.	Ací tens la teua bossa.
I am now on duty.	Ara estic de servei.
I ate the cheese.	Em vaig menjar el formatge.
I have a problem.	Tinc un problema.
I have a problem.	Tinc un maldecap.
I have no family.	No tinc família.
I work in a bank.	Jo treballo a un banc.
I wrote a letter.	Vaig escriure una carta.
I'm already late.	Ja faig tard.
I'm not a doctor.	Jo no sóc metge.
Let go of my arm.	Deixa'm anar el braç.
She lives nearby.	Viu aquí prop.
They're my books.	Són els meus llibres.
This is your dog.	Aquest és el teu gos.
Tom walked alone.	En Tom caminava sol.
What is going on?	Què hi ha?
What is going on?	Què passa?
Who are you with?	Amb qui estàs?
Who are you with?	Amb qui esteu?
Answer in English.	Contesta en anglès!
He went back home.	Ell va tornar a casa.
I have an earache.	Tinc otitis.
I have black eyes.	Tinc els ulls negres.
I think he did it.	Crec que ho va fer ell.
I'm a salesperson.	Sóc venedor.
Let me have a try.	Deixa'm intentar-ho.
Nobody is perfect.	Ningú és perfecte.
She has long hair.	Ella té el cabell llarg.
Tom doesn't drink.	Tom no beu.
Why is snow white?	Per què és blanca la neu?
You need to hurry.	T'has d'afanyar.
Are you hungry now?	Tens fam, ara?
Are you hungry now?	Teniu fam, ara?
Are you hungry now?	Ara tens fam?
Come along with me.	Acompanya'm.
Do it by all means.	Fes-ho com sigui.
Do it by all means.	Fes-ho peti qui peti.
Everyone loves him.	Tots l'estimen.
He speaks fluently.	Parla amb soltura.
I don't have a cat.	No tinc cap gat.
I don't want sugar.	No vull sucre.
I have lost my key.	He perdut la meva clau.
It was a nightmare.	Va ser un malson.
Shut up and listen!	Calla i escolta!
Shut up and listen.	Calla i escolta!
Stay out of my way.	Fora del meu camí!
This coat fits you.	Aquest abric et queda bé.
Tom is a silly man.	En tom és un ximplet.
What's the problem?	Quin problema hi ha?
What's your secret?	Quin és el teu secret?
You are a good boy.	Ets un bon noi.
Europe is in crisis.	Europa està en crisi.
Everybody loves him.	Tots l'estimen.
He'll return at six.	Tornarà a les sis.
He's the oldest son.	Ell és el fill gran.
I can see the light.	Puc veure la llum.
I want to stay here.	Vull quedar-me aquí.
I'll call him later.	Li cridaré més tard.
I've got a question.	Tinc una pregunta.
She has a white cat.	Ella té un gat blanc.
She raised her hand.	Ella va aixecar la mà.
She raised her hand.	Ella va alçar la mà.
