Who?	¿Quién?
I lost.	Ya perde yo.
Listen.	Oí!
I'm sad.	Triste yo.
Cuff him.	Poné posas cunele.
Hurry up.	Apurá.
I'm sure.	Siguráo yo.
I've won.	Ya ganá yo.
Kiss Tom.	Besá cun Tom.
Kiss Tom.	Man-kiss cun Tom.
They won.	Ya ganá silá.
Don't run.	No corré!
Forget it!	Olvidá ya cunaquel!
We can go.	Puede kitá andá.
Who's ill?	Quien enfermo?
Birds sing.	Mga pajaro ta cantá.
Bring wine.	Llevá vino.
Don't move!	No mové!
I am tired.	Cansáo yo.
I love you.	Ta amá yo contigo.
I'm so fat.	Bien gordo gayót yo.
Is Tom ill?	Enfermo ba si Tom?
Where am I?	Donde yo?
Are you fat?	Gordo tu?
He's a slob.	Haragán ele.
He's a slob.	Ele un haragán.
How are you?	¿Qué tal?
How are you?	¿Qué tal, usted?
I eat bread.	Ta comé yo pan.
I have eyes.	Tiene yo ojos.
I have eyes.	Tiene yo maga ojos.
I like milk.	Quiere quiere yo leche.
I saw a dog.	Ya mirá yo un perro.
I trust you.	Ta confiá yo contigo.
I work here.	Aqui yo ta trabajá.
I'll buy it.	Ay cumprá yo cunese.
I'm a woman.	Mujer yo.
I'm unlucky.	Malas yo.
Is that all?	Amó lang ese?
It's a fish.	Pescáo ese.
That is wet.	Mojáo se.
Tom coughed.	Ya tosé si Tom.
Who are you?	Quien tu?
Who said it?	Quien ya hablá?
Are you busy?	¿Ocupao usted?
Are you busy?	¿Ocupao tú?
Are you busy?	¿Ocupao vos?
Are you busy?	¿Usted ocupado?
Are you busy?	¿Tú ocupado?
Are you busy?	¿Evos ocupado?
Are you home?	Tallí tu na casa?
Are you sure?	Siguráo tu?
Come with me.	Siguí comigo.
Count to ten.	Contá hasta diez.
Don't litter!	No butá basura!
Grab a spoon.	Sacá cuchara.
Have a snack.	Merendá.
I drank milk.	Ya tomá yo leche.
I have a pen.	Tiene yo bolpen.
I like bread.	Quiere quiere yo pan.
I like candy.	Quiere quiere yo candy.
I need sugar.	Necesita yo azúcar.
I read books.	Ta lé yo maga libro.
I understood.	Ya entendé yo.
I've decided.	Ya decidi yo.
Is this true?	Deberasan ba esté?
Is this wine?	Vino esté?
My eyes itch.	Rasca de mío maga ojos.
My legs hurt.	Ta duelé de mío maga pierna.
Wake up, Tom.	Tom, despertá.
We have wine.	Tiene kamé vino.
What's wrong?	Cosa el problema?
Are you crazy?	Loco loco ba tu?
Don't kill me.	No cumigo matá.
Don't kiss me.	No cumigo besá.
He fooled her.	Ya hacé le loco cunele.
He hugged her.	Ya abrazá le cunele.
He needs help.	Necesita ele ayuda.
His nose bled.	Ya salé sangre de suyo nariz.
I already ate.	Ya comé ya yo.
I am studying.	Ta estudiá yo.
I am to blame.	De mío el culpa.
I found these.	Ya encontrá yo cunestos.
I have to eat.	Necesita yo comé.
I have to run.	Necesita yo corré.
I have to try.	Necesita yo prubá.
I have to win.	Necesita yo ganá.
