Go.	Gå!
Hi.	Hej!
Fire!	Fyr!
Fire!	Ildebrand!
Help!	Hjælp!
Stop!	Stop!
Attack!	Angrib!
Cheers!	Tak!
Cheers!	Skål!
He ran.	Han løb.
Hop in.	Hop ind!
I lied.	Jeg har løjet.
No way!	Aldrig i livet!
No way!	Ikke tale om!
No way!	Absolut ikke!
No way!	Under ingen omstændigheder!
No way!	Aldrig i verden!
No way!	Ikke på vilkår!
No way!	Du kan tro nej!
No way!	Du kan bande på nej!
No way!	Niksen biksen!
No way!	Nul, putte!
No way!	Det kan du glemme alt om!
No way!	På ingen måde!
No way!	Det er ikke muligt.
Really?	Virkelig?
Really?	Er det rigtigt?
Really?	Ja så!
Really?	Nej virkelig?
Really?	Så?
Thanks.	Tak!
Thanks.	Tak.
Why me?	Hvorfor mig?
Call me.	Ring til mig.
Get Tom.	Hent Tom.
Go away!	Gå din vej!
Help me!	Hjælp mig!
Help me.	Hjælp mig!
I agree.	Jeg er enig.
It's me.	Det er mig.
Perfect!	Perfekt!
See you!	Vi ses!
See you.	Vi ses!
See you.	Vi ses.
Show me.	Vis mig!
Shut up!	Hold mund!
Shut up!	Ti stille!
Shut up!	Klap i!
Shut up!	Hold kæft!
We lost.	Vi tabte.
We lost.	Vi har tabt.
Welcome.	Velkommen!
Welcome.	Velkommen.
You won.	Du vandt.
You won.	Du har vundet.
Be quiet.	Ti stille!
Be still.	Vær stille.
Cheer up!	Op med humøret!
Drive on.	Kør videre.
Get lost!	Gå væk!
Get lost!	Smut!
Get lost!	Gå din vej!
Get lost!	Skrid!
Get lost!	Skrub af!
Get lost!	Forsvind!
Get lost!	Ryg og rejs!
I ate it.	Jeg spiste det.
I'm fine.	Jeg har det godt.
I'm full.	Jeg er mæt!
I'm full.	Jeg har fået nok!
I'm here.	Jeg er her.
I'm here.	Jeg er her!
I'm home.	Jeg er hjemme.
I'm lost.	Jeg er faret vild.
I'm poor.	Jeg er fattig.
It's new.	Den er ny.
It's new.	Det er nyt.
Leave it.	Lad den være.
Leave it.	Lad det være.
Leave me.	Forlad mig.
Leave us.	Forlad os.
Let's go!	Af sted!
Marry me.	Gift dig med mig.
Sit down!	Sid ned!
Tom came.	Tom kom.
Tom lied.	Tom løj.
Tom wept.	Tom græd.
Trust me.	Stol på mig.
Use this.	Anvend dette.
Use this.	Anvend denne.
Use this.	Anvend den her.
Use this.	Anvend det her.
Warn Tom.	Advar Tom.
We agree.	Vi er enige.
Write me.	Skriv til mig.
Write me.	Skriv til mig!
Aim. Fire!	Sigt. Skyd!
Answer me.	Svar mig.
Birds fly.	Fugle flyver.
Calm down!	Tag det roligt!
Calm down!	Hids dig ned!
Calm down.	Tag det roligt!
Calm down.	Slap af!
Come back.	Kom tilbage!
Cool down.	Slap af!
Do it now.	Gør det nu!
Don't die.	Dø ikke.
Follow us.	Følg os!
Forget it.	Glem det.
He is ill.	Han er syg.
He's a DJ.	Han er en dj.
He's a DJ.	Han er en DJ.
Here I am.	Her er jeg.
Hold this.	Hold det her!
I am cold.	Jeg fryser.
I am fine.	Jeg har det godt.
I am lost.	Jeg er slet ikke med.
I am sick.	Jeg er syg.
I can fly.	Jeg kan flyve.
I cringed.	Jeg krøb sammen.
I laughed.	Jeg lo.
I promise.	Det lover jeg!
I saw him.	Jeg så ham.
I saw you.	Jeg så dig.
I'm a man.	Jeg er en mand.
I'm angry.	Jeg er vred.
I'm awake.	Jeg er vågen.
I'm bored.	Jeg keder mig.
I'm broke.	Jeg er helt flad.
I'm broke.	Jeg er blottet for penge.
I'm broke.	Jeg er helt blanket af.
I'm broke.	Jeg er bankerot.
I'm clean.	Jeg er ren.
I'm drunk.	Jeg er beruset.
I'm dying.	Jeg dør.
I'm happy.	Jeg er lykkelig.
I'm sorry.	Undskyld!
I'm sorry.	Jeg beklager!
I'm tired.	Jeg er træt.
I'm tired.	Jeg er træt!
It rained.	Det regnede.
It snowed.	Det sneede.
It's 8:30.	Den er 8:30.
It's cold.	Det er koldt.
It's free.	Det er gratis.
It's hard.	Det er hårdt.
It's ours.	Det er vores.
It's over.	Det er overstået.
It's over.	Det er slut.
It's over.	Det er ovre.
It's true!	Det er sandt!
Let me go!	Lad mig gå!
Let's try!	Lad os prøve!
Listen up.	Hør efter!
Pipe down!	Klap gællerne i!
