Hi.	Cső!
Run!	Fuss!
Run!	Rohanj!
Who?	Ki?
Wow!	Hűha!
Fire!	Tűz!
Fire!	Lőj!
Fire!	Tüzelj!
Help!	Segítség!
Jump.	Ugorjunk!
Stop!	Állj!
Wait.	Várj!
Go on.	Folytasd.
Hello!	Helló!
Hello!	Szervusz!
Hello!	Üdvözöllek!
Hello!	Üdvözlöm!
I see.	Értem.
I try.	Megpróbálom.
I won!	Nyertem!
I won!	Én nyertem!
Relax.	Nyugi.
Relax.	Lazíts!
Smile.	Mosolyogj!
Attack!	Támadás!
Freeze!	Megállni!
Get up.	Kelj föl!
Get up.	Kelj fel!
Go now.	Most menj!
Got it!	Értem.
Got it!	Vágom.
Got it?	Vágod?
He ran.	Futott.
He ran.	Rohant.
He ran.	Szaladt.
Hop in.	Ugorj be!
Hug me.	Ölelj meg!
I fell.	Elestem.
I know.	Tudom.
I left.	Távoztam.
I lied.	Hazudtam.
I lost.	Vesztettem.
I lost.	Kikaptam.
I quit.	Föladom.
I'm OK.	Velem minden rendben van.
Listen.	Figyelj!
No way!	Felejtsd el!
No way!	Ez nem fog menni!
No way!	Dehogy is!
No way!	Eszedbe ne jusson!
No way!	Még csak ne is gondolj rá!
No way!	Semmiképp.
No way!	Semmi esetre sem.
No way!	Sehogy sem fog menni!
No way!	Á dehogy!
No way!	Egy csudát!
No way!	Egy túrót!
No way!	Szó sincs róla!
No way!	Szó sem lehet róla!
No way!	Kizárt!
No way!	Semmi esetre sem!
No way!	Nincs az az isten!
No way!	Ki van zárva!
Really?	Valóban?
Really?	Igazán?
We try.	Próbálkozunk.
We won.	Nyertünk.
We won.	Győztünk.
Why me?	Miért én?
Why me?	Miért engem?
Ask Tom.	Kérdezd meg Tomit.
Be calm.	Légy nyugodt.
Be fair.	Legyél korrekt.
Be kind.	Legyél kedves.
Be nice.	Legyél kedves.
Be nice.	Legyél rendes.
Call me.	Hívjál fel.
Call us.	Hívj fel minket.
Call us.	Hívjon fel minket!
Come on!	Gyerünk már!
Come on!	Na nehogy már!
Come on!	Na mi lesz már!?
Come on!	Ugyan már!
Come on!	Ugyan kérlek!
Come on!	Ugyan menj már!
Come on!	Na mi lesz már!
Come on.	Ne már!
Drop it!	Dobd el!
Get Tom.	Hozd ide Tomit.
Get out!	Tűnj innen!
Go away!	Menj innen!
Go away!	Húzzál innen!
Go away.	Menj el!
Go away.	Menj innen!
Go home.	Menj haza!
