Hello!	哈佬。
Go away!	死開！
Go away!	彈開！
I get it.	我明。
I get it.	我get到。
I'm here.	我喺度。
After you.	你先。
Don't cry.	唔好喊啦。
I'm angry.	我好嬲。
I'm ready.	我準備好喇。
I'm right.	我係啱嘅。
It's easy.	好容易噃。
Come on in!	入嚟啦！
Don't move.	咪郁。
How's work?	返工返成點呀？
I know him.	我識佢。
It matters.	重要。
Let me die.	俾我死咗去算啦。
Start over.	重新嚟過啦。
Time is up.	夠鐘喇。
We are men.	我哋係男人。
What is it?	呢個咩嚟㗎？
Who did it?	邊個做架？
Who talked?	邊個講嘢？
Don't worry.	唔使擔心。
He helps us.	佢幫我哋。
He stood up.	佢企咗起身。
Please stay.	請留步。
Please stay.	請你留低啦。
Talk slower.	講慢少少。
Abandon ship!	棄船呀！
Come with us.	一齊嚟啦。
Don't be sad.	唔好唔開心啦。
I won't lose!	我唔會輸嘅！
I'm busy now.	我而家好唔得閒。
It's snowing.	落緊雪。
It's too big.	太大喇。
This is food.	嘢食嚟。
Tom screamed.	Tom尖叫。
You're right.	你講得啱。
You're right.	你講得冇錯。
Are you tired?	你唔攰咩？
He has a cold.	佢冷親。
He has a cold.	佢作感冒。
He has a cold.	佢傷風。
I lost my key.	我唔見咗我條鎖匙。
I read a book.	我睇咗一本書。
I want to cry.	我想喊。
I'm on my way.	我嚟緊喇。
Let me see it.	俾我睇吓。
No, thank you.	唔使喇，唔該。
Send Tom away.	送Tom走。
Take him away.	帶佢走。
Tom called me.	阿Tom打咗電話畀我。
You all right?	你冇嘢吖嘛？
Can you cancel?	你可唔可以取消？
Do you love me?	你鍾唔鍾意我㗎？
Don't run here.	唔好喺呢度跑嚟跑去。
How's your job?	你返工返成點呀？
I am a tourist.	我係旅客。
I like reading.	我鍾意睇書。
I study abroad.	我喺外國讀書。
I'm all for it.	我舉腳贊成。
It's too small.	太細喇。
May I help you?	有咩幫到你呢？
She's not here.	佢唔喺度。
The man is old.	個男人好老。
They found out.	佢哋發現咗喇。
They let me go.	佢哋俾我走。
What a big dog!	咁大隻狗嘅！
Yes, of course.	梗係啦。
Come on, get up.	喂，起身喇。
Do you eat meat?	你食唔食肉㗎？
Don't be afraid.	唔好驚！
Double the dose.	加一倍藥量。
Double the dose.	藥量加到兩倍。
Has he come yet?	佢嚟咗未呀？
He hit me twice.	佢打咗我兩下。
He's on his way.	佢嚟緊喇。
I broke a glass.	我打爛咗個玻璃杯。
I like this dog.	我鍾意呢隻狗。
I lost the game.	我輸咗場比賽。
I prefer coffee.	我鍾意飲咖啡多啲。
I read his book.	我睇咗佢本書。
I think so, too.	我都係咁諗。
I want a doctor.	我想要醫生。
I want a guitar.	我想要支結他。
It's almost six.	就嚟六點喇。
It's cold today.	今日好凍。
It's warm today.	今日幾暖。
Merry Christmas!	聖誕節快樂！
No one was hurt.	冇人受傷。
Open your mouth!	擘大口！
She got up late.	佢晏咗起身。
The book is red.	本書係紅色嘅。
Where's my book?	我本書去咗邊呀？
You're reliable.	你好可靠。
Are you new here?	你係咪新嚟㗎？
Do you like rain?	你鍾唔鍾意落雨㗎？
Don't waste time.	唔好浪費時間。
Don't waste time.	唔好嘥時間。
Glad you like it.	你鍾意就好喇。
He has a Picasso.	佢有一幅畢加索嘅畫。
He's always busy.	佢成日都咁忙嘅。
Her bike is blue.	佢架單車係藍色嘅。
Hold on a second.	等我一陣。
How much is that?	嗰個幾錢？
I don't know yet.	我仲未知。
I jumped for joy.	我開心到彈咗起身。
I read your book.	我讀咗你本書。
I'm still single.	我仲係單身。
Keep the dog out.	唔好俾隻狗入嚟。
My nose is itchy.	我個鼻好痕。
Please sign here.	麻煩你喺呢度簽個名吖。
She is beautiful.	佢好靚。
That couldn't be.	冇可能㗎。
The can is empty.	個罐係吉嘅。
This is Room 839.	呢度係839號房。
Tom had no money.	Tom冇錢。
Tom had no money.	Tom嗰陣冇錢。
We study Chinese.	我哋學中文。
We're on our way.	我哋嚟緊喇。
What did you say?	你講咗咩？
Who is this girl?	呢個女仔邊個嚟㗎？
Why did you call?	你點解打電話嘅？
You are a doctor.	你係醫生。
You were jealous.	你妒忌。
Can all birds fly?	係咪所有雀仔都識飛㗎？
Can you handle it?	你搞唔搞得掂㗎？
Do you guys smoke?	你哋食唔食煙㗎？
Do you have a pen?	你有冇筆呀？
Does he live here?	佢係咪喺呢度住㗎？
Give me that book.	俾嗰本書我。
He does not smoke.	佢唔食煙。
He has a cold now.	佢依家傷風。
He is influential.	佢好有影響力。
He is still angry.	佢仲嬲緊。
He keeps his word.	佢講得出就做得到。
He may come today.	佢今日可能會嚟。
He ordered a beer.	佢嗌咗杯啤酒。
He will come soon.	佢好快就會嚟㗎喇。
He wrote a letter.	佢寫咗封信。
